time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,4,1,22,4
2026-06-15 00:00:00+00:00,4,4,12,5
2026-06-16 00:00:00+00:00,3,3,6,3
2026-06-17 00:00:00+00:00,14,9,16,5
2026-06-18 00:00:00+00:00,2,2,34,3
2026-06-19 00:00:00+00:00,12,3,7,4
2026-06-20 00:00:00+00:00,43,14,6,4
2026-06-21 00:00:00+00:00,9,4,23,6
2026-06-22 00:00:00+00:00,0,0,16,6
2026-06-23 00:00:00+00:00,51,13,11,5
2026-06-24 00:00:00+00:00,30,10,19,7
2026-06-25 00:00:00+00:00,27,9,20,4
2026-06-26 00:00:00+00:00,3,2,15,3
2026-06-27 00:00:00+00:00,34,13,26,2
