time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-05 00:00:00+00:00,37,19,32,4
2026-04-06 00:00:00+00:00,2,2,12,2
2026-04-07 00:00:00+00:00,41,9,25,5
2026-04-08 00:00:00+00:00,35,10,30,4
2026-04-09 00:00:00+00:00,50,17,48,4
2026-04-10 00:00:00+00:00,46,19,38,8
2026-04-11 00:00:00+00:00,3,3,27,7
2026-04-12 00:00:00+00:00,0,0,11,6
2026-04-13 00:00:00+00:00,4,4,17,5
2026-04-14 00:00:00+00:00,43,15,22,4
2026-04-15 00:00:00+00:00,2,2,16,3
2026-04-16 00:00:00+00:00,145,40,24,4
2026-04-17 00:00:00+00:00,316,58,20,8
2026-04-18 00:00:00+00:00,71,27,62,5
