time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-17 00:00:00+00:00,35,7,34,2
2026-08-18 00:00:00+00:00,2,1,9,6
2026-08-19 00:00:00+00:00,7,2,15,2
2026-08-20 00:00:00+00:00,11,3,14,1
2026-08-21 00:00:00+00:00,16,5,29,3
2026-08-22 00:00:00+00:00,0,0,1,1
2026-08-23 00:00:00+00:00,11,8,11,3
2026-08-24 00:00:00+00:00,4,3,10,6
2026-08-25 00:00:00+00:00,0,0,7,2
2026-08-26 00:00:00+00:00,3,3,3,3
2026-08-27 00:00:00+00:00,2,2,8,5
2026-08-28 00:00:00+00:00,2,2,2,2
2026-08-29 00:00:00+00:00,1,1,13,5
2026-08-30 00:00:00+00:00,1,1,1,1
