time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-05 00:00:00+00:00,45,13,23,4
2026-02-06 00:00:00+00:00,30,12,63,8
2026-02-07 00:00:00+00:00,11,9,26,9
2026-02-08 00:00:00+00:00,2,2,71,15
2026-02-09 00:00:00+00:00,3,3,12,2
2026-02-10 00:00:00+00:00,31,11,56,8
2026-02-11 00:00:00+00:00,0,0,31,4
2026-02-12 00:00:00+00:00,12,6,70,5
2026-02-13 00:00:00+00:00,41,16,16,2
2026-02-14 00:00:00+00:00,20,10,29,10
2026-02-15 00:00:00+00:00,83,29,123,12
2026-02-16 00:00:00+00:00,8,7,8,3
2026-02-17 00:00:00+00:00,152,35,50,7
2026-02-18 00:00:00+00:00,5,4,24,10
