time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-03 00:00:00+00:00,2,2,6,1
2026-09-04 00:00:00+00:00,3,3,6,3
2026-09-05 00:00:00+00:00,23,7,6,1
2026-09-06 00:00:00+00:00,10,8,5,3
2026-09-07 00:00:00+00:00,1,1,22,3
2026-09-08 00:00:00+00:00,2,2,4,1
2026-09-09 00:00:00+00:00,3,1,4,3
2026-09-10 00:00:00+00:00,3,3,2,2
2026-09-11 00:00:00+00:00,4,4,12,6
2026-09-12 00:00:00+00:00,21,7,16,5
2026-09-13 00:00:00+00:00,6,3,5,3
2026-09-14 00:00:00+00:00,8,7,3,3
2026-09-15 00:00:00+00:00,2,1,3,1
2026-09-16 00:00:00+00:00,4,4,7,6
