time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-30 00:00:00+00:00,1,1,21,6
2026-07-31 00:00:00+00:00,8,3,36,4
2026-08-01 00:00:00+00:00,0,0,21,8
2026-08-02 00:00:00+00:00,2,2,2,2
2026-08-03 00:00:00+00:00,0,0,30,5
2026-08-04 00:00:00+00:00,2,2,23,4
2026-08-05 00:00:00+00:00,27,4,49,6
2026-08-06 00:00:00+00:00,2,2,10,5
2026-08-07 00:00:00+00:00,28,5,33,5
2026-08-08 00:00:00+00:00,61,15,27,4
2026-08-09 00:00:00+00:00,34,6,14,4
2026-08-10 00:00:00+00:00,0,0,33,6
2026-08-11 00:00:00+00:00,13,7,21,2
2026-08-12 00:00:00+00:00,2,2,6,4
