time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-22 00:00:00+00:00,133,68,19,6
2026-04-23 00:00:00+00:00,70,34,41,5
2026-04-24 00:00:00+00:00,67,38,41,10
2026-04-25 00:00:00+00:00,37,29,3,1
2026-04-26 00:00:00+00:00,29,8,55,5
2026-04-27 00:00:00+00:00,40,8,49,5
2026-04-28 00:00:00+00:00,0,0,13,3
2026-04-29 00:00:00+00:00,0,0,19,2
2026-04-30 00:00:00+00:00,22,10,11,3
2026-05-01 00:00:00+00:00,16,4,5,4
2026-05-02 00:00:00+00:00,21,6,10,3
2026-05-03 00:00:00+00:00,53,15,121,4
2026-05-04 00:00:00+00:00,9,6,10,3
2026-05-05 00:00:00+00:00,4,1,3,3
