time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-28 00:00:00+00:00,1,1,17,3
2026-03-01 00:00:00+00:00,31,6,48,8
2026-03-02 00:00:00+00:00,71,18,100,6
2026-03-03 00:00:00+00:00,157,30,49,10
2026-03-04 00:00:00+00:00,203,37,55,9
2026-03-05 00:00:00+00:00,28,3,16,6
2026-03-06 00:00:00+00:00,6,2,24,7
2026-03-07 00:00:00+00:00,90,13,80,8
2026-03-08 00:00:00+00:00,34,10,136,10
2026-03-09 00:00:00+00:00,4,4,54,14
2026-03-10 00:00:00+00:00,41,10,83,10
2026-03-11 00:00:00+00:00,35,9,110,10
2026-03-12 00:00:00+00:00,1,1,49,9
2026-03-13 00:00:00+00:00,1,1,6,4
