time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-19 00:00:00+00:00,12,3,7,4
2026-06-20 00:00:00+00:00,43,14,6,4
2026-06-21 00:00:00+00:00,9,4,23,6
2026-06-22 00:00:00+00:00,0,0,16,6
2026-06-23 00:00:00+00:00,51,13,11,5
2026-06-24 00:00:00+00:00,30,10,19,7
2026-06-25 00:00:00+00:00,27,9,20,4
2026-06-26 00:00:00+00:00,3,2,15,3
2026-06-27 00:00:00+00:00,34,13,26,2
2026-06-28 00:00:00+00:00,0,0,15,4
2026-06-29 00:00:00+00:00,22,8,12,4
2026-06-30 00:00:00+00:00,13,6,16,5
2026-07-01 00:00:00+00:00,7,6,33,12
2026-07-02 00:00:00+00:00,6,4,17,5
