time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,9,6,10,3
2026-05-05 00:00:00+00:00,4,1,3,3
2026-05-06 00:00:00+00:00,4,4,8,5
2026-05-07 00:00:00+00:00,63,8,20,6
2026-05-08 00:00:00+00:00,93,21,69,3
2026-05-09 00:00:00+00:00,3,3,27,5
2026-05-10 00:00:00+00:00,0,0,7,3
2026-05-11 00:00:00+00:00,3,3,17,3
2026-05-12 00:00:00+00:00,96,28,75,3
2026-05-13 00:00:00+00:00,3,3,20,3
2026-05-14 00:00:00+00:00,1,1,27,7
2026-05-15 00:00:00+00:00,2,2,12,6
2026-05-16 00:00:00+00:00,3,3,14,4
2026-05-17 00:00:00+00:00,39,17,104,7
