time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-11 00:00:00+00:00,35,9,110,10
2026-03-12 00:00:00+00:00,1,1,49,9
2026-03-13 00:00:00+00:00,1,1,6,4
2026-03-14 00:00:00+00:00,25,6,31,5
2026-03-15 00:00:00+00:00,4,3,62,12
2026-03-16 00:00:00+00:00,32,8,46,5
2026-03-17 00:00:00+00:00,2,2,8,5
2026-03-18 00:00:00+00:00,1,1,11,5
2026-03-19 00:00:00+00:00,2,2,121,4
2026-03-20 00:00:00+00:00,2,2,9,6
2026-03-21 00:00:00+00:00,4,3,11,4
2026-03-22 00:00:00+00:00,0,0,2,2
2026-03-23 00:00:00+00:00,2,2,32,3
2026-03-24 00:00:00+00:00,4,3,3,3
