time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-17 00:00:00+00:00,316,58,20,8
2026-04-18 00:00:00+00:00,71,27,62,5
2026-04-19 00:00:00+00:00,39,14,52,8
2026-04-20 00:00:00+00:00,6,6,37,8
2026-04-21 00:00:00+00:00,97,69,32,7
2026-04-22 00:00:00+00:00,133,68,19,6
2026-04-23 00:00:00+00:00,70,34,41,5
2026-04-24 00:00:00+00:00,67,38,41,10
2026-04-25 00:00:00+00:00,37,29,3,1
2026-04-26 00:00:00+00:00,29,8,55,5
2026-04-27 00:00:00+00:00,40,8,49,5
2026-04-28 00:00:00+00:00,0,0,13,3
2026-04-29 00:00:00+00:00,0,0,19,2
2026-04-30 00:00:00+00:00,22,10,11,3
