time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-10 00:00:00+00:00,0,0,33,6
2026-08-11 00:00:00+00:00,13,7,21,2
2026-08-12 00:00:00+00:00,2,2,6,4
2026-08-13 00:00:00+00:00,0,0,10,4
2026-08-14 00:00:00+00:00,0,0,10,4
2026-08-15 00:00:00+00:00,3,3,22,8
2026-08-16 00:00:00+00:00,8,3,18,3
2026-08-17 00:00:00+00:00,35,7,34,2
2026-08-18 00:00:00+00:00,2,1,9,6
2026-08-19 00:00:00+00:00,7,2,15,2
2026-08-20 00:00:00+00:00,11,3,14,1
2026-08-21 00:00:00+00:00,16,5,29,3
2026-08-22 00:00:00+00:00,0,0,1,1
2026-08-23 00:00:00+00:00,11,8,11,3
