time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,3,3,27,7
2026-04-12 00:00:00+00:00,0,0,11,6
2026-04-13 00:00:00+00:00,4,4,17,5
2026-04-14 00:00:00+00:00,43,15,22,4
2026-04-15 00:00:00+00:00,2,2,16,3
2026-04-16 00:00:00+00:00,145,40,24,4
2026-04-17 00:00:00+00:00,316,58,20,8
2026-04-18 00:00:00+00:00,71,27,62,5
2026-04-19 00:00:00+00:00,39,14,52,8
2026-04-20 00:00:00+00:00,6,6,37,8
2026-04-21 00:00:00+00:00,97,69,32,7
2026-04-22 00:00:00+00:00,133,68,19,6
2026-04-23 00:00:00+00:00,70,34,41,5
2026-04-24 00:00:00+00:00,67,38,41,10
