time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-16 00:00:00+00:00,32,8,46,5
2026-03-17 00:00:00+00:00,2,2,8,5
2026-03-18 00:00:00+00:00,1,1,11,5
2026-03-19 00:00:00+00:00,2,2,121,4
2026-03-20 00:00:00+00:00,2,2,9,6
2026-03-21 00:00:00+00:00,4,3,11,4
2026-03-22 00:00:00+00:00,0,0,2,2
2026-03-23 00:00:00+00:00,2,2,32,3
2026-03-24 00:00:00+00:00,4,3,3,3
2026-03-25 00:00:00+00:00,31,6,56,8
2026-03-26 00:00:00+00:00,13,8,84,21
2026-03-27 00:00:00+00:00,6,5,47,8
2026-03-28 00:00:00+00:00,72,25,121,11
2026-03-29 00:00:00+00:00,76,22,51,6
