time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-09 00:00:00+00:00,3,1,4,3
2026-09-10 00:00:00+00:00,3,3,2,2
2026-09-11 00:00:00+00:00,4,4,12,6
2026-09-12 00:00:00+00:00,21,7,16,5
2026-09-13 00:00:00+00:00,6,3,5,3
2026-09-14 00:00:00+00:00,8,7,3,3
2026-09-15 00:00:00+00:00,2,1,3,1
2026-09-16 00:00:00+00:00,4,4,7,6
2026-09-17 00:00:00+00:00,15,3,13,6
2026-09-18 00:00:00+00:00,1,1,14,6
2026-09-19 00:00:00+00:00,9,4,7,3
2026-09-20 00:00:00+00:00,83,24,22,4
2026-09-21 00:00:00+00:00,4,4,27,6
2026-09-22 00:00:00+00:00,1,1,17,4
