time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-05 00:00:00+00:00,28,3,16,6
2026-03-06 00:00:00+00:00,6,2,24,7
2026-03-07 00:00:00+00:00,90,13,80,8
2026-03-08 00:00:00+00:00,34,10,136,10
2026-03-09 00:00:00+00:00,4,4,54,14
2026-03-10 00:00:00+00:00,41,10,83,10
2026-03-11 00:00:00+00:00,35,9,110,10
2026-03-12 00:00:00+00:00,1,1,49,9
2026-03-13 00:00:00+00:00,1,1,6,4
2026-03-14 00:00:00+00:00,25,6,31,5
2026-03-15 00:00:00+00:00,4,3,62,12
2026-03-16 00:00:00+00:00,32,8,46,5
2026-03-17 00:00:00+00:00,2,2,8,5
2026-03-18 00:00:00+00:00,1,1,11,5
