time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-27 00:00:00+00:00,2,2,8,5
2026-08-28 00:00:00+00:00,2,2,2,2
2026-08-29 00:00:00+00:00,1,1,13,5
2026-08-30 00:00:00+00:00,1,1,1,1
2026-08-31 00:00:00+00:00,1,1,3,1
2026-09-01 00:00:00+00:00,12,4,20,4
2026-09-02 00:00:00+00:00,2,2,4,4
2026-09-03 00:00:00+00:00,2,2,6,1
2026-09-04 00:00:00+00:00,3,3,6,3
2026-09-05 00:00:00+00:00,23,7,6,1
2026-09-06 00:00:00+00:00,10,8,5,3
2026-09-07 00:00:00+00:00,1,1,22,3
2026-09-08 00:00:00+00:00,2,2,4,1
2026-09-09 00:00:00+00:00,3,1,4,3
