time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-12 00:00:00+00:00,96,28,75,3
2026-05-13 00:00:00+00:00,3,3,20,3
2026-05-14 00:00:00+00:00,1,1,27,7
2026-05-15 00:00:00+00:00,2,2,12,6
2026-05-16 00:00:00+00:00,3,3,14,4
2026-05-17 00:00:00+00:00,39,17,104,7
2026-05-18 00:00:00+00:00,4,4,31,9
2026-05-19 00:00:00+00:00,59,21,40,14
2026-05-20 00:00:00+00:00,13,7,16,3
2026-05-21 00:00:00+00:00,30,11,35,7
2026-05-22 00:00:00+00:00,25,11,31,4
2026-05-23 00:00:00+00:00,27,14,22,7
2026-05-24 00:00:00+00:00,9,6,83,9
2026-05-25 00:00:00+00:00,3,3,16,9
